head,relation,tail,head_type,tail_type
HES2,GPI,Q9Y543,gene,protein
MARCHF5,GPI,Q9NX47,gene,protein
DIRAS2,GPI,Q96HU8,gene,protein
ERCC6L,GPI,Q2NKX8,gene,protein
GIN1,GPI,Q9NXP7,gene,protein
ASPN,GPI,Q9BXN1,gene,protein
MRPL16,GPI,Q9NX20,gene,protein
AIRIM,GPI,Q9NX04,gene,protein
OXSM,GPI,Q9NWU1,gene,protein
TMCO3,GPI,Q6UWJ1,gene,protein
DET1,GPI,Q7L5Y6,gene,protein
IFT57,GPI,Q9NWB7,gene,protein
EBLN2,GPI,Q6P2I7,gene,protein
BSDC1,GPI,Q9NW68,gene,protein
MAGOHB,GPI,Q96A72,gene,protein
WRAP53,GPI,Q9BUR4,gene,protein
RCBTB1,GPI,Q8NDN9,gene,protein
UBE2W,GPI,Q96B02,gene,protein
C5orf22,GPI,Q49AR2,gene,protein
ETNK1,GPI,Q9HBU6,gene,protein
SMPD3,GPI,Q9NY59,gene,protein
CDKN2AIP,GPI,Q9NXV6,gene,protein
OTUB1,GPI,Q96FW1,gene,protein
KDM4D,GPI,Q6B0I6,gene,protein
RBM22,GPI,Q9NW64,gene,protein
TSR1,GPI,Q2NL82,gene,protein
PARVA,GPI,Q9NVD7,gene,protein
TMEM30A,GPI,Q9NV96,gene,protein
DHX32,GPI,Q7L7V1,gene,protein
PLGRKT,GPI,Q9HBL7,gene,protein
BCAP29,GPI,Q9UHQ4,gene,protein
PCDHGA3,GPI,Q9Y5H0,gene,protein
PCDHB11,GPI,Q9Y5F2,gene,protein
INPP5E,GPI,Q10713,gene,protein
SLAMF8,GPI,Q9P0V8,gene,protein
EMC7,GPI,Q9NPA0,gene,protein
ADAMTS9,GPI,Q9P2N4,gene,protein
ADGRG6,GPI,Q86SQ4,gene,protein
CYP20A1,GPI,Q6UW02,gene,protein
MAVS,GPI,Q7Z434,gene,protein
SHTN1,GPI,A0MZ66,gene,protein
WDR19,GPI,Q8NEZ3,gene,protein
GATAD1,GPI,Q8WUU5,gene,protein
MYOZ1,GPI,Q9NP98,gene,protein
AFAP1,GPI,Q8N556,gene,protein
AVPI1,GPI,Q5T686,gene,protein
ATG101,GPI,Q9BSB4,gene,protein
VIPAS39,GPI,Q9H9C1,gene,protein
SH2D4A,GPI,Q9H788,gene,protein
LHPP,GPI,Q9H008,gene,protein
ELSPBP1,GPI,Q96BH3,gene,protein
RRAGC,GPI,Q9HB90,gene,protein
IKZF5,GPI,Q9H5V7,gene,protein
CDH22,GPI,Q9UJ99,gene,protein
KLHL25,GPI,Q9H0H3,gene,protein
TTC31,GPI,Q49AM3,gene,protein
NUCKS1,GPI,Q9H1E3,gene,protein
RSRC2,GPI,Q7L4I2,gene,protein
BRD9,GPI,Q9H8M2,gene,protein
SCNM1,GPI,Q9BWG6,gene,protein
GGCT,GPI,O75223,gene,protein
TSEN34,GPI,Q9BSV6,gene,protein
SMIM7,GPI,Q9BQ49,gene,protein
TAF1D,GPI,Q9H5J8,gene,protein
PLEKHF1,GPI,Q96S99,gene,protein
LRRC2,GPI,Q9BYS8,gene,protein
NAA16,GPI,Q6N069,gene,protein
TUT7,GPI,Q5VYS8,gene,protein
TXNDC15,GPI,Q96J42,gene,protein
ACBD4,GPI,Q8NC06,gene,protein
IQCA1,GPI,Q86XH1,gene,protein
NIPAL2,GPI,Q9H841,gene,protein
RABEP2,GPI,Q9H5N1,gene,protein
ATP8B4,GPI,Q8TF62,gene,protein
PRR5L,GPI,Q6MZQ0,gene,protein
WDR76,GPI,Q9H967,gene,protein
DOCK5,GPI,Q9H7D0,gene,protein
BBOF1,GPI,Q8ND07,gene,protein
THOC7,GPI,Q6I9Y2,gene,protein
FUZ,GPI,Q9BT04,gene,protein
FLAD1,GPI,Q8NFF5,gene,protein
PDGFD,GPI,Q9GZP0,gene,protein
CCDC68,GPI,Q9H2F9,gene,protein
SLC44A4,GPI,Q53GD3,gene,protein
STARD5,GPI,Q9NSY2,gene,protein
GPR63,GPI,Q9BZJ6,gene,protein
YIPF5,GPI,Q969M3,gene,protein
URM1,GPI,Q9BTM9,gene,protein
LBH,GPI,Q53QV2,gene,protein
TRMT1L,GPI,Q7Z2T5,gene,protein
YIPF4,GPI,Q9BSR8,gene,protein
RNFT2,GPI,Q96EX2,gene,protein
METTL18,GPI,O95568,gene,protein
BICDL1,GPI,Q6ZP65,gene,protein
TMEM183A,GPI,Q8IXX5,gene,protein
H2AC25,GPI,Q7L7L0,gene,protein
ATP5IF1,GPI,Q9UII2,gene,protein
NLRP3,GPI,Q96P20,gene,protein
PIERCE1,GPI,Q5BN46,gene,protein
NEK7,GPI,Q8TDX7,gene,protein
SIRPA,GPI,P78324,gene,protein
RNF38,GPI,Q9H0F5,gene,protein
MICU2,GPI,Q8IYU8,gene,protein
ASPHD1,GPI,Q5U4P2,gene,protein
C2orf68,GPI,Q2NKX9,gene,protein
ATXN7L3B,GPI,Q96GX2,gene,protein
