head,relation,tail,head_type,tail_type,label
861,CGI-D,RPS4X,compound,gene,2
864,CGI-U,MOK,compound,gene,1
864,CGI-U,IDE,compound,gene,1
864,CGI-U,DDX50,compound,gene,1
864,CGI-U,TWF1,compound,gene,1
864,CGI-U,SHTN1,compound,gene,1
864,CGI-U,BNIP2,compound,gene,1
864,CGI-U,POLR1C,compound,gene,1
864,CGI-D,FABP5,compound,gene,2
864,CGI-D,TARBP1,compound,gene,2
864,CGI-D,TET3,compound,gene,2
864,CGI-D,CACNB4,compound,gene,2
864,CGI-D,RBM34,compound,gene,2
864,CGI-D,APBA3,compound,gene,2
864,CGI-D,EDC4,compound,gene,2
864,CGI-D,GUCY2F,compound,gene,2
864,CGI-D,CACNA2D2,compound,gene,2
864,CGI-D,GAS8,compound,gene,2
896,CGI-U,DTL,compound,gene,1
896,CGI-U,IL13RA1,compound,gene,1
896,CGI-U,ABHD10,compound,gene,1
896,CGI-U,CD209,compound,gene,1
896,CGI-U,RAD51AP1,compound,gene,1
896,CGI-U,KCNJ2,compound,gene,1
896,CGI-U,LILRB4,compound,gene,1
896,CGI-U,QTRT2,compound,gene,1
896,CGI-U,CHST11,compound,gene,1
896,CGI-U,MRPL16,compound,gene,1
896,CGI-U,HDHD3,compound,gene,1
896,CGI-D,PSMA7,compound,gene,2
896,CGI-D,MSN,compound,gene,2
896,CGI-D,TRAM1,compound,gene,2
896,CGI-D,HIP1,compound,gene,2
896,CGI-D,ANXA5,compound,gene,2
896,CGI-D,LYRM1,compound,gene,2
896,CGI-D,BMPR2,compound,gene,2
896,CGI-D,RIOK3,compound,gene,2
896,CGI-D,PROSER1,compound,gene,2
896,CGI-D,SRP72,compound,gene,2
938,CGI-U,SEC24D,compound,gene,1
938,CGI-U,AGBL5,compound,gene,1
938,CGI-U,SLC35A3,compound,gene,1
938,CGI-U,RBP4,compound,gene,1
938,CGI-U,MRPL9,compound,gene,1
938,CGI-U,CCNF,compound,gene,1
938,CGI-U,TCFL5,compound,gene,1
938,CGI-D,IL12RB1,compound,gene,2
938,CGI-D,PLAAT1,compound,gene,2
938,CGI-D,PCNA,compound,gene,2
938,CGI-D,GDF15,compound,gene,2
938,CGI-D,TLK2,compound,gene,2
938,CGI-D,POLR3C,compound,gene,2
938,CGI-D,DNMT3A,compound,gene,2
938,CGI-D,TAF5L,compound,gene,2
938,CGI-D,MYH9,compound,gene,2
938,CGI-D,CBX4,compound,gene,2
938,CGI-D,ATF4,compound,gene,2
938,CGI-D,EPRS1,compound,gene,2
938,CGI-D,CHMP4A,compound,gene,2
938,CGI-D,FOXD1,compound,gene,2
938,CGI-D,PLEKHA1,compound,gene,2
938,CGI-D,CRELD1,compound,gene,2
951,CGI-U,GATA3,compound,gene,1
951,CGI-U,SCCPDH,compound,gene,1
951,CGI-U,CHP1,compound,gene,1
951,CGI-U,CTSL,compound,gene,1
951,CGI-U,MAFB,compound,gene,1
951,CGI-U,CDK12,compound,gene,1
951,CGI-U,ARPP19,compound,gene,1
951,CGI-U,PPP2R1B,compound,gene,1
951,CGI-U,ANAPC5,compound,gene,1
951,CGI-U,CASC3,compound,gene,1
951,CGI-U,RPL36,compound,gene,1
951,CGI-D,PAPSS2,compound,gene,2
951,CGI-D,TMEM40,compound,gene,2
951,CGI-D,ABCC6,compound,gene,2
951,CGI-D,PDHA2,compound,gene,2
951,CGI-D,KIAA0319,compound,gene,2
951,CGI-D,SUPV3L1,compound,gene,2
951,CGI-D,SUPT3H,compound,gene,2
951,CGI-D,SAA3P,compound,gene,2
951,CGI-D,DHX58,compound,gene,2
951,CGI-D,POU6F2,compound,gene,2
992,CGI-U,INPP1,compound,gene,1
992,CGI-U,TXNIP,compound,gene,1
992,CGI-U,MTMR3,compound,gene,1
992,CGI-U,CCNL1,compound,gene,1
992,CGI-U,CIRBP,compound,gene,1
992,CGI-U,EPHB2,compound,gene,1
992,CGI-U,NFE2L2,compound,gene,1
992,CGI-U,ADO,compound,gene,1
992,CGI-U,LONP1,compound,gene,1
992,CGI-U,MTHFD2,compound,gene,1
992,CGI-U,CDO1,compound,gene,1
992,CGI-U,ATG4B,compound,gene,1
992,CGI-U,LOC730101,compound,gene,1
992,CGI-U,THADA,compound,gene,1
992,CGI-U,GTPBP1,compound,gene,1
992,CGI-D,PGAM1,compound,gene,2
992,CGI-D,PCNA,compound,gene,2
992,CGI-D,TUBA4A,compound,gene,2
992,CGI-D,HSPA8,compound,gene,2
992,CGI-D,DERA,compound,gene,2
992,CGI-D,CD58,compound,gene,2
992,CGI-D,SCD,compound,gene,2
992,CGI-D,UBE2C,compound,gene,2
992,CGI-D,S100A9,compound,gene,2
992,CGI-D,FABP5,compound,gene,2
992,CGI-D,RAC1,compound,gene,2
992,CGI-D,LDHA,compound,gene,2
992,CGI-D,PIN1,compound,gene,2
992,CGI-D,SIGMAR1,compound,gene,2
992,CGI-D,RCN2,compound,gene,2
992,CGI-D,TAF5L,compound,gene,2
992,CGI-D,STARD7,compound,gene,2
992,CGI-D,PUDP,compound,gene,2
996,CGI-U,MLLT11,compound,gene,1
996,CGI-U,ANO1,compound,gene,1
996,CGI-U,KLHL9,compound,gene,1
996,CGI-U,MUC1,compound,gene,1
996,CGI-U,TERT,compound,gene,1
996,CGI-U,GSTZ1,compound,gene,1
996,CGI-U,CEP57,compound,gene,1
996,CGI-U,RAB31,compound,gene,1
996,CGI-U,EGR1,compound,gene,1
996,CGI-U,NTM,compound,gene,1
996,CGI-U,DNMT3A,compound,gene,1
996,CGI-U,DDX10,compound,gene,1
996,CGI-D,ZW10,compound,gene,2
996,CGI-D,CCNB2,compound,gene,2
996,CGI-D,PPP2R3C,compound,gene,2
996,CGI-D,POP4,compound,gene,2
996,CGI-D,RHEB,compound,gene,2
996,CGI-D,KCNK5,compound,gene,2
996,CGI-D,RXRB,compound,gene,2
996,CGI-D,PLIN2,compound,gene,2
996,CGI-D,TIMM44,compound,gene,2
996,CGI-D,PLEKHJ1,compound,gene,2
1046,CGI-U,SNX11,compound,gene,1
